route_id,service_id,trip_id,trip_headsign,block_id
111-125,JAN12-JANSA12-Saturday-12,20061348-JAN12-JANSA12-Saturday-12,"Baseline",2568130
111-125,JAN12-JANSA12-Saturday-12,20061349-JAN12-JANSA12-Saturday-12,"Baseline",2568210
111-125,JAN12-JANSA12-Saturday-12,20061350-JAN12-JANSA12-Saturday-12,"Baseline",2568310
111-125,JAN12-JANSA12-Saturday-12,20061351-JAN12-JANSA12-Saturday-12,"Baseline",2568314
111-125,JAN12-JANSA12-Saturday-12,20061352-JAN12-JANSA12-Saturday-12,"Baseline",2568130
111-125,JAN12-JANSA12-Saturday-12,20061353-JAN12-JANSA12-Saturday-12,"Baseline",2568210
111-125,JAN12-JANSA12-Saturday-12,20061354-JAN12-JANSA12-Saturday-12,"Baseline",2568210
111-125,JAN12-JANSA12-Saturday-12,20061355-JAN12-JANSA12-Saturday-12,"Carleton",2568261
111-125,JAN12-JANSA12-Saturday-12,20061356-JAN12-JANSA12-Saturday-12,"Carleton",2568261
111-125,JAN12-JANSA12-Saturday-12,20061357-JAN12-JANSA12-Saturday-12,"Carleton",2568041
111-125,JAN12-JANSA12-Saturday-12,20061358-JAN12-JANSA12-Saturday-12,"Carleton",2568123
111-125,JAN12-JANSA12-Saturday-12,20061359-JAN12-JANSA12-Saturday-12,"Carleton",2568261
111-125,JAN12-JANSA12-Saturday-12,20061360-JAN12-JANSA12-Saturday-12,"Baseline",2568066
111-125,JAN12-JANSA12-Saturday-12,20061361-JAN12-JANSA12-Saturday-12,"Baseline",2568097
111-125,JAN12-JANSA12-Saturday-12,20061362-JAN12-JANSA12-Saturday-12,"Baseline",2568041
111-125,JAN12-JANSA12-Saturday-12,20061363-JAN12-JANSA12-Saturday-12,"Baseline",2568314
111-125,JAN12-JANSA12-Saturday-12,20061364-JAN12-JANSA12-Saturday-12,"Baseline",2568103
111-125,JAN12-JANSA12-Saturday-12,20061365-JAN12-JANSA12-Saturday-12,"Baseline",2568066
111-125,JAN12-JANSA12-Saturday-12,20061366-JAN12-JANSA12-Saturday-12,"Carleton",2568084
111-125,JAN12-JANSA12-Saturday-12,20061367-JAN12-JANSA12-Saturday-12,"Carleton",2568261
111-125,JAN12-JANSA12-Saturday-12,20061368-JAN12-JANSA12-Saturday-12,"Carleton",2568097
111-125,JAN12-JANSA12-Saturday-12,20061369-JAN12-JANSA12-Saturday-12,"Carleton",2568097
111-125,JAN12-JANSA12-Saturday-12,20061370-JAN12-JANSA12-Saturday-12,"Carleton",2568097
111-125,JAN12-JANSA12-Saturday-12,20061371-JAN12-JANSA12-Saturday-12,"Carleton",2568130
111-125,JAN12-JANSA12-Saturday-12,20061372-JAN12-JANSA12-Saturday-12,"Baseline",2568261
111-125,JAN12-JANSA12-Saturday-12,20061373-JAN12-JANSA12-Saturday-12,"Baseline",2568261
111-125,JAN12-JANSA12-Saturday-12,20061374-JAN12-JANSA12-Saturday-12,"Baseline",2568261
111-125,JAN12-JANSA12-Saturday-12,20061375-JAN12-JANSA12-Saturday-12,"Baseline",2568261
111-125,JAN12-JANSA12-Saturday-12,20061376-JAN12-JANSA12-Saturday-12,"Baseline",2568261
111-125,JAN12-JANSA12-Saturday-12,20061377-JAN12-JANSA12-Saturday-12,"Carleton",2568130
111-125,JAN12-JANSA12-Saturday-12,20061378-JAN12-JANSA12-Saturday-12,"Carleton",2568066
111-125,JAN12-JANSA12-Saturday-12,20061379-JAN12-JANSA12-Saturday-12,"Carleton",2568261
111-125,JAN12-JANSA12-Saturday-12,20061380-JAN12-JANSA12-Saturday-12,"Carleton",2568066
111-125,JAN12-JANSA12-Saturday-12,20061381-JAN12-JANSA12-Saturday-12,"Carleton",2568066
111-125,JAN12-JANSA12-Saturday-12,20061382-JAN12-JANSA12-Saturday-12,"Baseline",2568210
