route_id,route_short_name,route_long_name,route_desc,route_type
124-138,124,Gloucester North / nord,,3
126-135,126,Gloucester North / nord,,3
126-136,126,Gloucester North / nord,,3
126-138,126,Gloucester North / nord,,3
127-135,127,Blair \ St. Laurent,,3
127-136,127,Blair \ St. Laurent,,3
127-138,127,Blair \ St. Laurent,,3
128-135,128,Blackburn Hamlet --Blair,,3
128-136,128,Blackburn Hamlet --Blair,,3
128-138,128,Blackburn Hamlet --Blair,,3
129-135,129,Hurdman / Ottawa Rockliffe,,3
129-136,129,Hurdman / Ottawa Rockliffe,,3
129-138,129,Hurdman / Ottawa Rockliffe,,3
130-135,130,Convent Glen / Fallingbrook,,3
130-136,130,Convent Glen / Fallingbrook,,3
130-138,130,Convent Glen / Fallingbrook,,3
131-135,131,Convent Glen / Chapel Hill,,3
131-136,131,Convent Glen / Chapel Hill,,3
131-138,131,Convent Glen / Chapel Hill,,3
132-135,132,Sunview -- Place D'Orléans,,3
132-136,132,Sunview -- Place D'Orléans,,3
132-138,132,Sunview -- Place D'Orléans,,3
134-135,134,Renaud \ Orleans,,3
134-136,134,Renaud \ Orleans,,3
134-138,134,Renaud \ Orleans,,3
135-135,135,Esprit / Place d'Orléans,,3
135-136,135,Esprit / Place d'Orléans,,3
135-138,135,Esprit / Place d'Orléans,,3
136-135,136,Fallingbrook / Place d'Orléans,,3
136-136,136,Fallingbrook / Place d'Orléans,,3
137-135,137,Queenswood Heights,,3
137-136,137,Queenswood Heights,,3
140-135,140,Riverside \ Hurdman,,3
140-136,140,Riverside \ Hurdman,,3
143-135,143,Conroy -- Greenboro,,3
143-136,143,Conroy -- Greenboro,,3
143-138,143,Conroy -- Greenboro,,3
144-135,144,Gloucester South / South Keys,,3
144-136,144,Gloucester South / South Keys,,3
144-138,144,Gloucester South / South Keys,,3
146-135,146,South Keys \ Hurdman,,3
146-136,146,South Keys \ Hurdman,,3
146-138,146,South Keys \ Hurdman,,3
147-135,147,Gloucester South / sud,,3
147-136,147,Gloucester South / sud,,3
147-138,147,Gloucester South / sud,,3
148-135,148,Elmvale \ Hurdman,,3
148-136,148,Elmvale \ Hurdman,,3
148-138,148,Elmvale \ Hurdman,,3
149-135,149,Elmvale \ Hurdman,,3
149-136,149,Elmvale \ Hurdman,,3
149-138,149,Elmvale \ Hurdman,,3
150-135,150,Tunney's Pasture \ Lincoln Fields,,3
150-136,150,Tunney's Pasture \ Lincoln Fields,,3
151-135,151,Tunney's Pasture \ Merivale,,3
151-136,151,Tunney's Pasture \ Merivale,,3
152-135,152,Lincoln Fields \ Bayshore,,3
152-136,152,Lincoln Fields \ Bayshore,,3
152-138,152,Lincoln Fields \ Bayshore,,3
156-135,156,Baseline --Merivale,,3
156-136,156,Baseline --Merivale,,3
156-138,156,Baseline --Merivale,,3
157-135,157,Grenfell / Baseline,,3
157-136,157,Grenfell / Baseline,,3
159-135,159,Tunneys Pasture,,3
159-136,159,Tunneys Pasture,,3
159-138,159,Tunneys Pasture,,3
161-135,161,Bridlewood\Terry Fox,,3
161-136,161,Bridlewood\Terry Fox,,3
163-135,163,Stittsville / Terry Fox Station,,3
164-135,164,Bridlewood\Terry Fox\Hope Side,,3
164-136,164,Bridlewood\Terry Fox\Hope Side,,3
164-138,164,Bridlewood\Terry Fox\Hope Side,,3
168-135,168,Beaverbrook \Terry Fox,,3
168-136,168,Beaverbrook \Terry Fox,,3
168-138,168,Beaverbrook \Terry Fox,,3
170-135,170,Longfields\ Walter Baker,,3
170-136,170,Longfields\ Walter Baker,,3
170-138,170,Longfields\ Walter Baker,,3
171-135,171,Barrhaven - Fallowfield,,3
171-136,171,Barrhaven - Fallowfield,,3
172-135,172,Lincoln Fields \ Bayshore,,3
172-136,172,Lincoln Fields \ Bayshore,,3
172-138,172,Lincoln Fields \ Bayshore,,3
173-135,173,Barrhaven Centre\Fallowfield,,3
173-136,173,Barrhaven Centre\Fallowfield,,3
174-135,174,Baseline - Knoxdale,,3
174-136,174,Baseline - Knoxdale,,3
175-135,175,Barrhaven Centre/ Golflinks,,3
175-136,175,Barrhaven Centre/ Golflinks,,3
176-135,176,Barrhaven \ Tunney's Pasture,,3
176-136,176,Barrhaven \ Tunney's Pasture,,3
176-138,176,Barrhaven \ Tunney's Pasture,,3
177-135,177,Barrhaven - Grand Canal,,3
177-136,177,Barrhaven - Grand Canal,,3
178-135,178,Lincoln Fields - Centrepointe,,3
178-136,178,Lincoln Fields - Centrepointe,,3
180-135,180,Bayshore -- Haanel,,3
180-136,180,Bayshore -- Haanel,,3
181-135,181,Eagleson - March - Legget,,3
181-136,181,Eagleson - March - Legget,,3
182-135,182,Kanata \ Downtown / Centre-ville,,3
182-136,182,Kanata \ Downtown / Centre-ville,,3
183-135,183,Terry Fox Stat/Palladium/Huntmar,,3
185-136,185,Experimental Farm,,3
185-138,185,Agriculture Museum,,3
186-135,186,Rideau \ Nepean South / sud,,3
186-136,186,Rideau \ Nepean South / sud,,3
189-135,189,South Keys/Riverview,,3
189-136,189,South Keys/Riverview,,3
192-135,192,Hawthorne \ Hurdman,,3
192-136,192,Hawthorne \ Hurdman,,3
